from,to,ft,factor
kEUR,MEUR_2015,,0.001146963
kEUR,USD,,1244.090569793
kEUR,MUSD,,0.001244091
kEUR,EUR_2022,,1360.118324222
kEUR,USD_2018,,1568.747651475
kEUR,EUR_2014,,1126.088502156
kEUR,EUR_2016,,1162.191387228
kEUR,MEUR_2014,,0.001126089
kEUR,EUR_2005,,1000.000000000
kEUR,USD_2005,,1244.090569793
a,year,,1.000000000
a,hour,,8760.000000000
pct MWh,MWh,,0.010000000
pct MWh,GJ,,0.036000000
pct MWh,kWh,,10.000000000
pct MWh,GJ,,0.036000000
pct MWh,MJ,,36.000000000
pct MWh,MWh,,0.010000000
pct MWh,pct kWh,,1000.000000000
pct MWh,pct kWh,,1000.000000000
pct MWh,GWh,,0.000010000
pct MWh,MJ,,36.000000000
pct MWh,kWh,,10.000000000
MUSD,EUR_2013,,888465.097873171
MUSD,MEUR_2020,,1.005687641
MUSD,EUR,,803800.000000000
MUSD,EUR_2020,,1005687.640763559
MUSD,USD_2021,,1358750.799770359
MUSD,EUR_2019,,987800.449255826
MUSD,MUSD_2022,,1.453935037
MUSD,EUR_2015,,921928.510760342
MUSD,MEUR_2015,,0.921928511
MUSD,USD,,1000000.000000000
MUSD,kEUR,,803.800000000
MUSD,EUR_2022,,1093263.109010001
MUSD,USD_2018,,1260959.362255733
MUSD,EUR_2014,,905149.938032783
MUSD,EUR_2016,,934169.437053622
MUSD,MEUR_2014,,0.905149938
MUSD,EUR_2005,,803800.000000000
MUSD,USD_2005,,1000000.000000000
EUR_2022,EUR_2013,,0.812672714
EUR_2022,MEUR_2020,,0.000000920
EUR_2022,EUR,,0.735230150
EUR_2022,EUR_2020,,0.919895341
EUR_2022,USD_2021,,1.242839705
EUR_2022,EUR_2019,,0.903534054
EUR_2022,MUSD_2022,,0.000001330
EUR_2022,EUR_2015,,0.843281460
EUR_2022,MEUR_2015,,0.000000843
EUR_2022,USD,,0.914692897
EUR_2022,kEUR,,0.000735230
EUR_2022,MUSD,,0.000000915
EUR_2022,USD_2018,,1.153390572
EUR_2022,EUR_2014,,0.827934219
EUR_2022,EUR_2016,,0.854478148
EUR_2022,MEUR_2014,,0.000000828
EUR_2022,EUR_2005,,0.735230150
EUR_2022,USD_2005,,0.914692897
USD_2018,EUR_2013,,0.704594553
USD_2018,MEUR_2020,,0.000000798
USD_2018,EUR,,0.637451154
USD_2018,EUR_2020,,0.797557535
USD_2018,USD_2021,,1.077553203
USD_2018,EUR_2019,,0.783372152
USD_2018,MUSD_2022,,0.000001153
USD_2018,EUR_2015,,0.731132611
USD_2018,MEUR_2015,,0.000000731
USD_2018,USD,,0.793046969
USD_2018,kEUR,,0.000637451
USD_2018,MUSD,,0.000000793
USD_2018,EUR_2022,,0.867008995
USD_2018,EUR_2014,,0.717826415
USD_2018,EUR_2016,,0.740840240
USD_2018,MEUR_2014,,0.000000718
USD_2018,EUR_2005,,0.637451154
USD_2018,USD_2005,,0.793046969
kg/day,t/a,,0.365000000
kg/day,Mt/a,,0.000000365
kg/day,kg/d,,1.000000000
kg/day,metric_ton/a,,0.365000000
kg/day,kilometric_ton/a,,0.000365000
kg/day,kg/a,,365.000000000
kg/day,lb/hour,,0.091859276
USD_2018/year,EUR_2020/a,,0.797557535
USD_2018/year,USD_2020/a,,1.031222518
USD_2018/year,EUR/a,,0.637451154
USD_2018/year,USD/a,,0.793046969
USD_2018/year,EUR_2014/year,,0.717826415
USD_2018/year,MEUR_2014/a,,0.000000718
USD_2018/year,EUR_2005/a,,0.637451154
USD_2018/year,USD_2005/a,,0.793046969
lb,t,,0.000453592
lb,kg,,0.453592370
lb,metric_ton,,0.000453592
lb,kilometric_ton,,0.000000454
lb/hour,t/a,,3.973469161
lb/hour,Mt/a,,0.000003973
lb/hour,kg/d,,10.886216880
lb/hour,metric_ton/a,,3.973469161
lb/hour,kilometric_ton/a,,0.003973469
lb/hour,kg/a,,3973.469161200
lb/hour,kg/day,,10.886216880
kW,MW,,0.001000000
kW,GJ/a,,31.536000000
kW,MWh/a,,8.760000000
GWh,MWh,,1000.000000000
GWh,GJ,,3600.000000000
GWh,kWh,,1000000.000000000
GWh,GJ,,3600.000000000
GWh,MJ,,3600000.000000000
GWh,MWh,,1000.000000000
GWh,pct kWh,,100000000.000000000
GWh,pct kWh,,100000000.000000000
GWh,pct MWh,,100000.000000000
GWh,pct MWh,,100000.000000000
GWh,MJ,,3600000.000000000
GWh,kWh,,1000000.000000000
EUR_2014,EUR_2013,,0.981566767
EUR_2014,MEUR_2020,,0.000001111
EUR_2014,EUR,,0.888029669
EUR_2014,EUR_2020,,1.111072982
EUR_2014,USD_2021,,1.501133395
EUR_2014,EUR_2019,,1.091311404
EUR_2014,MUSD_2022,,0.000001606
EUR_2014,EUR_2015,,1.018536788
EUR_2014,MEUR_2015,,0.000001019
EUR_2014,USD,,1.104789337
EUR_2014,kEUR,,0.000888030
EUR_2014,MUSD,,0.000001105
EUR_2014,EUR_2022,,1.207825425
EUR_2014,USD_2018,,1.393094458
EUR_2014,EUR_2016,,1.032060433
EUR_2014,MEUR_2014,,0.000001000
EUR_2014,EUR_2005,,0.888029669
EUR_2014,USD_2005,,1.104789337
m³/hour,m³/h,,1.000000000
EUR_2014/year,EUR_2020/a,,1.111072982
EUR_2014/year,USD_2020/a,,1.436590375
EUR_2014/year,EUR/a,,0.888029669
EUR_2014/year,USD/a,,1.104789337
EUR_2014/year,USD_2018/year,,1.393094458
EUR_2014/year,MEUR_2014/a,,0.000001000
EUR_2014/year,EUR_2005/a,,0.888029669
EUR_2014/year,USD_2005/a,,1.104789337
MJ,MWh,,0.000277778
MJ,GJ,,0.001000000
MJ,kWh,,0.277777778
MJ,GJ,,0.001000000
MJ,MWh,,0.000277778
MJ,pct kWh,,27.777777778
MJ,pct kWh,,27.777777778
MJ,pct MWh,,0.027777778
MJ,pct MWh,,0.027777778
MJ,GWh,,0.000000278
MJ,kWh,,0.277777778
MWh/a,kW,,0.114155251
MWh/a,MW,,0.000114155
MWh/a,GJ/a,,3.600000000
MWh/a,kW,,0.114155251
EUR_2016,EUR_2013,,0.951074894
EUR_2016,MEUR_2020,,0.000001077
EUR_2016,EUR,,0.860443479
EUR_2016,EUR_2020,,1.076558064
EUR_2016,USD_2021,,1.454501449
EUR_2016,EUR_2019,,1.057410369
EUR_2016,MUSD_2022,,0.000001556
EUR_2016,EUR_2015,,0.986896460
EUR_2016,MEUR_2015,,0.000000987
EUR_2016,USD,,1.070469618
EUR_2016,kEUR,,0.000860443
EUR_2016,MUSD,,0.000001070
EUR_2016,EUR_2022,,1.170304942
EUR_2016,USD_2018,,1.349818686
EUR_2016,EUR_2014,,0.968935508
EUR_2016,MEUR_2014,,0.000000969
EUR_2016,EUR_2005,,0.860443479
EUR_2016,USD_2005,,1.070469618
kWh,MWh,,0.001000000
kWh,GJ,,0.003600000
kWh,GJ,,0.003600000
kWh,MJ,,3.600000000
kWh,MWh,,0.001000000
kWh,pct kWh,,100.000000000
kWh,pct kWh,,100.000000000
kWh,pct MWh,,0.100000000
kWh,pct MWh,,0.100000000
kWh,GWh,,0.000001000
kWh,MJ,,3.600000000
MEUR_2014/a,EUR_2020/a,,1111072.981951786
MEUR_2014/a,USD_2020/a,,1436590.374532556
MEUR_2014/a,EUR/a,,888029.669147353
MEUR_2014/a,USD/a,,1104789.337083047
MEUR_2014/a,USD_2018/year,,1393094.457915174
MEUR_2014/a,EUR_2014/year,,1000000.000000000
MEUR_2014/a,EUR_2005/a,,888029.669147353
MEUR_2014/a,USD_2005/a,,1104789.337083047
MEUR_2014,EUR_2013,,981566.766500726
MEUR_2014,MEUR_2020,,1.111072982
MEUR_2014,EUR,,888029.669147353
MEUR_2014,EUR_2020,,1111072.981951786
MEUR_2014,USD_2021,,1501133.395339355
MEUR_2014,EUR_2019,,1091311.403503681
MEUR_2014,MUSD_2022,,1.606291926
MEUR_2014,EUR_2015,,1018536.788240880
MEUR_2014,MEUR_2015,,1.018536788
MEUR_2014,USD,,1104789.337083047
MEUR_2014,kEUR,,888.029669147
MEUR_2014,MUSD,,1.104789337
MEUR_2014,EUR_2022,,1207825.425460510
MEUR_2014,USD_2018,,1393094.457915174
MEUR_2014,EUR_2014,,1000000.000000000
MEUR_2014,EUR_2016,,1032060.433085714
MEUR_2014,EUR_2005,,888029.669147353
MEUR_2014,USD_2005,,1104789.337083047
EUR_2005,EUR_2013,,1.105331050
EUR_2005,MEUR_2020,,0.000001251
EUR_2005,EUR,,1.000000000
EUR_2005,EUR_2020,,1.251166510
EUR_2005,USD_2021,,1.690409057
EUR_2005,EUR_2019,,1.228913224
EUR_2005,MUSD_2022,,0.000001809
EUR_2005,EUR_2015,,1.146962566
EUR_2005,MEUR_2015,,0.000001147
EUR_2005,USD,,1.244090570
EUR_2005,kEUR,,0.001000000
EUR_2005,MUSD,,0.000001244
EUR_2005,EUR_2022,,1.360118324
EUR_2005,USD_2018,,1.568747651
EUR_2005,EUR_2014,,1.126088502
EUR_2005,EUR_2016,,1.162191387
EUR_2005,MEUR_2014,,0.000001126
EUR_2005,USD_2005,,1.244090570
USD_2005,EUR_2013,,0.888465098
USD_2005,MEUR_2020,,0.000001006
USD_2005,EUR,,0.803800000
USD_2005,EUR_2020,,1.005687641
USD_2005,USD_2021,,1.358750800
USD_2005,EUR_2019,,0.987800449
USD_2005,MUSD_2022,,0.000001454
USD_2005,EUR_2015,,0.921928511
USD_2005,MEUR_2015,,0.000000922
USD_2005,USD,,1.000000000
USD_2005,kEUR,,0.000803800
USD_2005,MUSD,,0.000001000
USD_2005,EUR_2022,,1.093263109
USD_2005,USD_2018,,1.260959362
USD_2005,EUR_2014,,0.905149938
USD_2005,EUR_2016,,0.934169437
USD_2005,MEUR_2014,,0.000000905
USD_2005,EUR_2005,,0.803800000
EUR_2005/a,EUR_2020/a,,1.251166510
EUR_2005/a,USD_2020/a,,1.617727903
EUR_2005/a,EUR/a,,1.000000000
EUR_2005/a,USD/a,,1.244090570
EUR_2005/a,USD_2018/year,,1.568747651
EUR_2005/a,EUR_2014/year,,1.126088502
EUR_2005/a,MEUR_2014/a,,0.000001126
EUR_2005/a,USD_2005/a,,1.244090570
USD_2005/a,EUR_2020/a,,1.005687641
USD_2005/a,USD_2020/a,,1.300329688
USD_2005/a,EUR/a,,0.803800000
USD_2005/a,USD/a,,1.000000000
USD_2005/a,USD_2018/year,,1.260959362
USD_2005/a,EUR_2014/year,,0.905149938
USD_2005/a,MEUR_2014/a,,0.000000905
USD_2005/a,EUR_2005/a,,0.803800000
t/a,Mt/a,Alloys,0.000001000
t/a,kg/d,Alloys,2.739726027
t/a,metric_ton/a,Alloys,1.000000000
t/a,kilometric_ton/a,Alloys,0.001000000
t/a,kg/a,Alloys,1000.000000000
t/a,kg/day,Alloys,2.739726027
t/a,lb/hour,Alloys,0.251669249
t,kg,Alloys,1000.000000000
t,metric_ton,Alloys,1.000000000
t,kilometric_ton,Alloys,0.001000000
t,lb,Alloys,2204.622621849
kg,t,Alloys,0.001000000
kg,metric_ton,Alloys,0.001000000
kg,kilometric_ton,Alloys,0.000001000
kg,lb,Alloys,2.204622622
Mt/a,t/a,Alloys,1000000.000000000
Mt/a,kg/d,Alloys,2739726.027397260
Mt/a,metric_ton/a,Alloys,1000000.000000000
Mt/a,kilometric_ton/a,Alloys,1000.000000000
Mt/a,kg/a,Alloys,1000000000.000000000
Mt/a,kg/day,Alloys,2739726.027397260
Mt/a,lb/hour,Alloys,251669.249069495
kg/d,t/a,Alloys,0.365000000
kg/d,Mt/a,Alloys,0.000000365
kg/d,metric_ton/a,Alloys,0.365000000
kg/d,kilometric_ton/a,Alloys,0.000365000
kg/d,kg/a,Alloys,365.000000000
kg/d,kg/day,Alloys,1.000000000
kg/d,lb/hour,Alloys,0.091859276
metric_ton/a,t/a,Alloys,1.000000000
metric_ton/a,Mt/a,Alloys,0.000001000
metric_ton/a,kg/d,Alloys,2.739726027
metric_ton/a,kilometric_ton/a,Alloys,0.001000000
metric_ton/a,kg/a,Alloys,1000.000000000
metric_ton/a,kg/day,Alloys,2.739726027
metric_ton/a,lb/hour,Alloys,0.251669249
metric_ton,t,Alloys,1.000000000
metric_ton,kg,Alloys,1000.000000000
metric_ton,kilometric_ton,Alloys,0.001000000
metric_ton,lb,Alloys,2204.622621849
kilometric_ton/a,t/a,Alloys,1000.000000000
kilometric_ton/a,Mt/a,Alloys,0.001000000
kilometric_ton/a,kg/d,Alloys,2739.726027397
kilometric_ton/a,metric_ton/a,Alloys,1000.000000000
kilometric_ton/a,kg/a,Alloys,1000000.000000000
kilometric_ton/a,kg/day,Alloys,2739.726027397
