source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 19 (Nominal investment)",heat-pump-80c,*,0.5-5 MW,2040,CAPEX,Output Capacity|Heat,0.91,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 19 (Nominal investment)",heat-pump-80c,*,0.5-5 MW,2050,CAPEX,Output Capacity|Heat,0.89,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 22 (Fixed O&M costs)",heat-pump-80c,*,0.5-5 MW,2025,OPEX Fixed,Output Capacity|Heat,2127,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 22 (Fixed O&M costs)",heat-pump-80c,*,0.5-5 MW,2030,OPEX Fixed,Output Capacity|Heat,2095,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 22 (Fixed O&M costs)",heat-pump-80c,*,0.5-5 MW,2035,OPEX Fixed,Output Capacity|Heat,2032,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 22 (Fixed O&M costs)",heat-pump-80c,*,0.5-5 MW,2040,OPEX Fixed,Output Capacity|Heat,2032,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 22 (Fixed O&M costs)",heat-pump-80c,*,0.5-5 MW,2050,OPEX Fixed,Output Capacity|Heat,2001,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 23 (Variable O&M costs)",heat-pump-80c,*,0.5-5 MW,2025,OPEX Variable,Output|Heat,3.07,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 23 (Variable O&M costs)",heat-pump-80c,*,0.5-5 MW,2030,OPEX Variable,Output|Heat,3.02,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 23 (Variable O&M costs)",heat-pump-80c,*,0.5-5 MW,2035,OPEX Variable,Output|Heat,2.93,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 23 (Variable O&M costs)",heat-pump-80c,*,0.5-5 MW,2040,OPEX Variable,Output|Heat,2.93,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 23 (Variable O&M costs)",heat-pump-80c,*,0.5-5 MW,2050,OPEX Variable,Output|Heat,2.89,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 12 (Technical lifetime)",heat-pump-80c,*,0.5-5 MW,2025,Lifetime,,25,,a,,,
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 7 (COP at nominal load)",heat-pump-125c,*,0.3-25 MW,2025,Output|Heat,Input|Electricity,2.75,,kWh,1,kWh,COP at 65 K temperature lift; heat sink up to 125°C
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 7 (COP at nominal load)",heat-pump-125c,*,0.3-25 MW,2030,Output|Heat,Input|Electricity,2.85,,kWh,1,kWh,COP at 65 K temperature lift; heat sink up to 125°C
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 7 (COP at nominal load)",heat-pump-125c,*,0.3-25 MW,2035,Output|Heat,Input|Electricity,2.90,,kWh,1,kWh,COP at 65 K temperature lift; heat sink up to 125°C
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 7 (COP at nominal load)",heat-pump-125c,*,0.3-25 MW,2040,Output|Heat,Input|Electricity,2.95,,kWh,1,kWh,COP at 65 K temperature lift; heat sink up to 125°C
